# time       norm          energy        x_avg        sx          
0.000000e+00 1.000000e+00  1.127500e+04 -1.000000e+00 7.071068e-02
1.000000e-04 1.000000e+00  1.127500e+04 -9.850000e-01 7.071421e-02
2.000000e-04 1.000000e+00  1.127500e+04 -9.700000e-01 7.072482e-02
3.000000e-04 1.000000e+00  1.127500e+04 -9.550000e-01 7.074249e-02
4.000000e-04 1.000000e+00  1.127500e+04 -9.400000e-01 7.076722e-02
5.000000e-04 1.000000e+00  1.127500e+04 -9.250000e-01 7.079901e-02
6.000000e-04 1.000000e+00  1.127500e+04 -9.100000e-01 7.083784e-02
7.000000e-04 1.000000e+00  1.127500e+04 -8.950000e-01 7.088371e-02
8.000000e-04 1.000000e+00  1.127500e+04 -8.800000e-01 7.093659e-02
9.000000e-04 1.000000e+00  1.127500e+04 -8.650000e-01 7.099648e-02
1.000000e-03 1.000000e+00  1.127500e+04 -8.500000e-01 7.106335e-02
1.100000e-03 1.000000e+00  1.127500e+04 -8.350000e-01 7.113719e-02
1.200000e-03 1.000000e+00  1.127500e+04 -8.200000e-01 7.121798e-02
1.300000e-03 1.000000e+00  1.127500e+04 -8.050000e-01 7.130568e-02
1.400000e-03 1.000000e+00  1.127500e+04 -7.900000e-01 7.140028e-02
1.500000e-03 1.000000e+00  1.127500e+04 -7.750000e-01 7.150175e-02
1.600000e-03 1.000000e+00  1.127500e+04 -7.600000e-01 7.161006e-02
1.700000e-03 1.000000e+00  1.127500e+04 -7.450000e-01 7.172517e-02
1.800000e-03 1.000000e+00  1.127500e+04 -7.300000e-01 7.184706e-02
1.900000e-03 1.000000e+00  1.127500e+04 -7.150000e-01 7.197569e-02
2.000000e-03 1.000000e+00  1.127500e+04 -7.000000e-01 7.211103e-02
2.100000e-03 1.000000e+00  1.127500e+04 -6.850000e-01 7.225303e-02
2.200000e-03 1.000000e+00  1.127500e+04 -6.700000e-01 7.240166e-02
2.300000e-03 1.000000e+00  1.127500e+04 -6.550000e-01 7.255687e-02
2.400000e-03 1.000000e+00  1.127500e+04 -6.400000e-01 7.271864e-02
2.500000e-03 1.000000e+00  1.127500e+04 -6.250000e-01 7.288690e-02
2.600000e-03 1.000000e+00  1.127500e+04 -6.100000e-01 7.306162e-02
2.700000e-03 1.000000e+00  1.127500e+04 -5.950000e-01 7.324275e-02
2.800000e-03 1.000000e+00  1.127500e+04 -5.800000e-01 7.343024e-02
2.900000e-03 1.000000e+00  1.127500e+04 -5.650000e-01 7.362404e-02
3.000000e-03 1.000000e+00  1.127500e+04 -5.500000e-01 7.382412e-02
3.100000e-03 1.000000e+00  1.127500e+04 -5.350000e-01 7.403040e-02
