# time       norm          energy        x_avg        sx          
0.000000e+00 1.000000e+00  2.422500e+04 -1.000000e+00 7.071068e-02
1.000000e-04 1.000000e+00  2.422500e+04 -9.780000e-01 7.071421e-02
2.000000e-04 1.000000e+00  2.422500e+04 -9.560000e-01 7.072482e-02
3.000000e-04 1.000000e+00  2.422500e+04 -9.340000e-01 7.074249e-02
4.000000e-04 1.000000e+00  2.422500e+04 -9.120000e-01 7.076722e-02
5.000000e-04 1.000000e+00  2.422500e+04 -8.900000e-01 7.079901e-02
6.000000e-04 1.000000e+00  2.422500e+04 -8.680000e-01 7.083784e-02
7.000000e-04 1.000000e+00  2.422500e+04 -8.460000e-01 7.088371e-02
8.000000e-04 1.000000e+00  2.422500e+04 -8.240000e-01 7.093659e-02
9.000000e-04 1.000000e+00  2.422500e+04 -8.020000e-01 7.099648e-02
1.000000e-03 1.000000e+00  2.422500e+04 -7.800000e-01 7.106335e-02
1.100000e-03 1.000000e+00  2.422500e+04 -7.580000e-01 7.113719e-02
1.200000e-03 1.000000e+00  2.422500e+04 -7.360000e-01 7.121798e-02
1.300000e-03 1.000000e+00  2.422500e+04 -7.140000e-01 7.130568e-02
1.400000e-03 1.000000e+00  2.422500e+04 -6.920000e-01 7.140028e-02
1.500000e-03 1.000000e+00  2.422500e+04 -6.700000e-01 7.150175e-02
1.600000e-03 1.000000e+00  2.422500e+04 -6.480000e-01 7.161006e-02
1.700000e-03 1.000000e+00  2.422500e+04 -6.260000e-01 7.172517e-02
1.800000e-03 1.000000e+00  2.422500e+04 -6.040000e-01 7.184706e-02
1.900000e-03 1.000000e+00  2.422500e+04 -5.820000e-01 7.197569e-02
2.000000e-03 1.000000e+00  2.422500e+04 -5.600000e-01 7.211103e-02
2.100000e-03 1.000000e+00  2.422500e+04 -5.380000e-01 7.225303e-02
2.200000e-03 1.000000e+00  2.422500e+04 -5.160000e-01 7.240166e-02
2.300000e-03 1.000000e+00  2.422500e+04 -4.940000e-01 7.255687e-02
2.400000e-03 1.000000e+00  2.422500e+04 -4.720000e-01 7.271864e-02
2.500000e-03 1.000000e+00  2.422500e+04 -4.500000e-01 7.288690e-02
2.600000e-03 1.000000e+00  2.422500e+04 -4.280000e-01 7.306162e-02
2.700000e-03 1.000000e+00  2.422500e+04 -4.060000e-01 7.324276e-02
2.800000e-03 1.000000e+00  2.422501e+04 -3.840000e-01 7.343031e-02
2.900000e-03 1.000000e+00  2.422503e+04 -3.619999e-01 7.362436e-02
3.000000e-03 1.000000e+00  2.422512e+04 -3.399998e-01 7.382534e-02
3.100000e-03 1.000000e+00  2.422546e+04 -3.179991e-01 7.403470e-02
3.200000e-03 1.000000e+00  2.422654e+04 -2.959969e-01 7.425650e-02
